,sparsity,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
0,0.0,0.0,0.0,0.4377880096435547,0.4423963129520416,0.4986239969730377
1,0.05,1.2995392084121704,0.04130114987492561,0.48847925662994385,0.5161290168762207,2.0122177600860596
2,0.1,2.7327189445495605,0.08867588639259338,0.4677419364452362,0.5,2.3084046840667725
3,0.15000000000000002,4.21658992767334,0.14004886150360107,0.48156681656837463,0.5092166066169739,2.11806321144104
4,0.2,5.753456115722656,0.19170409440994263,0.48847925662994385,0.5161290168762207,1.818129062652588
5,0.25,7.288018226623535,0.24418647587299347,0.5,0.5138248801231384,1.6110649108886719
6,0.30000000000000004,8.647465705871582,0.28937381505966187,0.5138248801231384,0.5506912469863892,1.5296754837036133
7,0.35000000000000003,10.135944366455078,0.34051790833473206,0.5345622301101685,0.5714285969734192,1.3746933937072754
8,0.4,11.617511749267578,0.3892548680305481,0.5714285969734192,0.6082949042320251,1.184471845626831
9,0.45,13.089861869812012,0.43850573897361755,0.6059907674789429,0.6198156476020813,1.1021690368652344
10,0.5,14.555299758911133,0.4880024492740631,0.6059907674789429,0.6290322542190552,1.0175678730010986
11,0.55,16.094470977783203,0.5407590270042419,0.578341007232666,0.638248860836029,1.0101104974746704
12,0.6000000000000001,17.541475296020508,0.5888383984565735,0.6105991005897522,0.6612903475761414,0.9434313774108887
13,0.65,19.020736694335938,0.6392184495925903,0.6244239807128906,0.6705068945884705,0.8317871689796448
14,0.7000000000000001,20.458524703979492,0.6867155432701111,0.656682014465332,0.6889401078224182,0.7251676321029663
15,0.75,22.101383209228516,0.7434163689613342,0.6981566548347473,0.725806474685669,0.580990195274353
16,0.8,23.569124221801758,0.7926265597343445,0.7119815945625305,0.7534562349319458,0.47629761695861816
17,0.8500000000000001,24.970046997070312,0.8400171995162964,0.7396313548088074,0.7857142686843872,0.3345915973186493
18,0.9,26.41474723815918,0.8865761756896973,0.7949308753013611,0.8317972421646118,0.272061288356781
19,0.9500000000000001,27.850231170654297,0.9362286925315857,0.8087557554244995,0.8502303957939148,0.19599756598472595
