,topk,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
94,14,14.0,0.027079302817583084,1.0,1.0,0.008555235341191292
95,15,15.0,0.029013538733124733,1.0,1.0,0.008555235341191292
96,16,16.0,0.03094777651131153,1.0,1.0,0.008555235341191292
97,17,17.0,0.03288201242685318,1.0,1.0,0.008555235341191292
98,18,18.0,0.03481624647974968,1.0,1.0,0.008555235341191292
99,19,19.0,0.03675048425793648,1.0,1.0,0.008555235341191292
100,0,0.0,0.0,1.0,1.0,0.35358166694641113
101,1,1.0,0.03703703731298447,1.0,1.0,0.056969113647937775
102,2,2.0,0.07407407462596893,0.0,0.0,2.1998462677001953
103,3,3.0,0.1111111119389534,0.0,0.0,1.2350102663040161
104,4,4.0,0.14814814925193787,1.0,1.0,0.08015701174736023
105,5,5.0,0.18518517911434174,1.0,1.0,0.04258515313267708
106,6,6.0,0.2222222238779068,1.0,1.0,0.018347136676311493
107,7,7.0,0.25925925374031067,1.0,1.0,0.010434049181640148
108,8,8.0,0.29629629850387573,1.0,1.0,0.010434049181640148
109,9,9.0,0.3333333432674408,1.0,1.0,0.010434049181640148
110,10,10.0,0.37037035822868347,1.0,1.0,0.010434049181640148
111,11,11.0,0.40740740299224854,1.0,1.0,0.010434049181640148
112,12,11.0,0.40740740299224854,1.0,1.0,0.010434049181640148
113,13,11.0,0.40740740299224854,1.0,1.0,0.010434049181640148
114,14,11.0,0.40740740299224854,1.0,1.0,0.010434049181640148
115,15,11.0,0.40740740299224854,1.0,1.0,0.010434049181640148
116,16,11.0,0.40740740299224854,1.0,1.0,0.010434049181640148
117,17,11.0,0.40740740299224854,1.0,1.0,0.010434049181640148
118,18,11.0,0.40740740299224854,1.0,1.0,0.010434049181640148
119,19,11.0,0.40740740299224854,1.0,1.0,0.010434049181640148
120,0,0.0,0.0,0.0,0.0,0.6910120844841003
121,1,1.0,0.025641025975346565,0.0,0.0,1.7527525424957275
122,2,2.0,0.05128205195069313,0.0,0.0,2.9472734928131104
123,3,3.0,0.07692307978868484,0.0,0.0,2.65620493888855
124,4,4.0,0.10256410390138626,0.0,0.0,0.5440627932548523
125,5,5.0,0.12820513546466827,1.0,1.0,0.0503004789352417
126,6,6.0,0.1538461595773697,1.0,1.0,0.09265760332345963
127,7,7.0,0.1794871836900711,1.0,1.0,0.07895108312368393
128,8,8.0,0.20512820780277252,1.0,1.0,0.07895108312368393
129,9,9.0,0.23076923191547394,1.0,1.0,0.07895108312368393
130,10,9.0,0.23076923191547394,1.0,1.0,0.07895108312368393
131,11,11.0,0.28205129504203796,1.0,1.0,0.07895108312368393
132,12,11.0,0.28205129504203796,1.0,1.0,0.07895108312368393
133,13,11.0,0.28205129504203796,1.0,1.0,0.07895108312368393
134,14,11.0,0.28205129504203796,1.0,1.0,0.07895108312368393
135,15,11.0,0.28205129504203796,1.0,1.0,0.07895108312368393
136,16,11.0,0.28205129504203796,1.0,1.0,0.07895108312368393
137,17,11.0,0.28205129504203796,1.0,1.0,0.07895108312368393
138,18,11.0,0.28205129504203796,1.0,1.0,0.07895108312368393
139,19,11.0,0.28205129504203796,1.0,1.0,0.07895108312368393
140,0,0.0,0.0,0.0,0.0,3.1662580966949463
141,1,1.0,0.0026385225355625153,0.0,0.0,2.6177608966827393
142,2,2.0,0.0052770450711250305,0.0,0.0,4.138312816619873
143,3,3.0,0.007915567606687546,1.0,1.0,0.27993589639663696
144,4,4.0,0.010554090142250061,0.0,0.0,1.5094118118286133
145,5,5.0,0.013192611746490002,0.0,0.0,2.289621114730835
146,6,6.0,0.01583113521337509,1.0,1.0,0.0029036011546850204
147,7,7.0,0.018469657748937607,1.0,1.0,0.18778656423091888
148,8,8.0,0.021108180284500122,1.0,1.0,0.017007553949952126
149,9,9.0,0.023746700957417488,1.0,1.0,0.003953700885176659
150,10,10.0,0.026385223492980003,1.0,1.0,0.003953700885176659
151,11,11.0,0.02902374602854252,1.0,1.0,0.003953700885176659
152,12,12.0,0.03166227042675018,1.0,1.0,0.0017230706289410591
153,13,13.0,0.0343007929623127,1.0,1.0,0.0017230706289410591
154,14,14.0,0.036939315497875214,1.0,1.0,0.0017230706289410591
155,15,15.0,0.03957783803343773,1.0,1.0,0.0017230706289410591
156,16,16.0,0.042216360569000244,1.0,1.0,0.0017230706289410591
157,17,17.0,0.04485488310456276,1.0,1.0,0.0017230706289410591
158,18,18.0,0.047493401914834976,1.0,1.0,0.0017230706289410591
159,19,19.0,0.05013192445039749,1.0,1.0,0.0017230706289410591
160,0,0.0,0.0,0.0,0.0,3.398686647415161
161,1,1.0,0.0026525198481976986,0.0,0.0,3.398686647415161
162,2,2.0,0.005305039696395397,0.0,0.0,4.345280170440674
163,3,3.0,0.007957560010254383,0.0,0.0,1.6197173595428467
164,4,4.0,0.010610079392790794,0.0,0.0,2.124915838241577
165,5,5.0,0.01326259970664978,1.0,1.0,0.0030125644989311695
166,6,6.0,0.015915120020508766,1.0,1.0,0.005851298570632935
167,7,7.0,0.018567638471722603,1.0,1.0,0.0020718397572636604
168,8,8.0,0.02122015878558159,1.0,1.0,0.0020718397572636604
169,9,9.0,0.023872679099440575,1.0,1.0,0.0020718397572636604
170,10,10.0,0.02652519941329956,1.0,1.0,0.0020718397572636604
171,11,11.0,0.029177719727158546,1.0,1.0,0.0020718397572636604
172,12,12.0,0.03183024004101753,1.0,1.0,0.0020718397572636604
173,13,13.0,0.03448275849223137,1.0,1.0,0.0020718397572636604
174,14,14.0,0.037135276943445206,1.0,1.0,0.0020718397572636604
175,15,15.0,0.03978779911994934,1.0,1.0,0.0020718397572636604
176,16,16.0,0.04244031757116318,1.0,1.0,0.0020718397572636604
177,17,16.0,0.04244031757116318,1.0,1.0,0.0020718397572636604
178,18,18.0,0.04774535819888115,1.0,1.0,0.0020718397572636604
179,19,19.0,0.050397876650094986,1.0,1.0,0.0020718397572636604
180,0,0.0,0.0,1.0,1.0,0.3585416078567505
181,1,1.0,0.1428571492433548,1.0,1.0,0.06480342894792557
182,2,2.0,0.2857142984867096,0.0,0.0,0.9634531140327454
183,3,3.0,0.4285714328289032,0.0,0.0,1.153641939163208
184,4,4.0,0.5714285969734192,1.0,1.0,0.05809439346194267
185,5,5.0,0.7142857313156128,0.0,0.0,0.7931289672851562
186,6,6.0,0.8571428656578064,1.0,1.0,0.0025672991760075092
187,7,7.0,1.0,1.0,1.0,-1.1412991440806763e-08
188,8,7.0,1.0,1.0,1.0,-1.1412991440806763e-08
189,9,7.0,1.0,1.0,1.0,-1.1412991440806763e-08
190,10,7.0,1.0,1.0,1.0,-1.1412991440806763e-08
191,11,7.0,1.0,1.0,1.0,-1.1412991440806763e-08
192,12,7.0,1.0,1.0,1.0,-1.1412991440806763e-08
193,13,7.0,1.0,1.0,1.0,-1.1412991440806763e-08
194,14,7.0,1.0,1.0,1.0,-1.1412991440806763e-08
195,15,7.0,1.0,1.0,1.0,-1.1412991440806763e-08
196,16,7.0,1.0,1.0,1.0,-1.1412991440806763e-08
197,17,7.0,1.0,1.0,1.0,-1.1412991440806763e-08
198,18,7.0,1.0,1.0,1.0,-1.1412991440806763e-08
199,19,7.0,1.0,1.0,1.0,-1.1412991440806763e-08
200,0,0.0,0.0,0.0,0.0,3.394047737121582
201,1,1.0,0.005319148767739534,0.0,0.0,3.394047737121582
202,2,2.0,0.010638297535479069,0.0,0.0,4.341808795928955
203,3,3.0,0.01595744676887989,0.0,0.0,1.615693211555481
204,4,4.0,0.021276595070958138,0.0,0.0,2.121206760406494
205,5,5.0,0.026595745235681534,1.0,1.0,0.0030427416786551476
206,6,6.0,0.03191489353775978,1.0,1.0,0.005473610013723373
207,7,7.0,0.03723404183983803,1.0,1.0,0.001828533597290516
208,8,7.0,0.03723404183983803,1.0,1.0,0.001828533597290516
209,9,9.0,0.04787234216928482,1.0,1.0,0.001828533597290516
210,10,10.0,0.05319149047136307,1.0,1.0,0.001828533597290516
211,11,11.0,0.058510638773441315,1.0,1.0,0.001828533597290516
212,12,12.0,0.06382978707551956,1.0,1.0,0.001828533597290516
213,13,12.0,0.06382978707551956,1.0,1.0,0.001828533597290516
214,14,14.0,0.07446808367967606,1.0,1.0,0.001828533597290516
215,15,14.0,0.07446808367967606,1.0,1.0,0.001828533597290516
216,16,16.0,0.08510638028383255,1.0,1.0,0.001828533597290516
217,17,17.0,0.0904255285859108,1.0,1.0,0.001828533597290516
218,18,17.0,0.0904255285859108,1.0,1.0,0.001828533597290516
219,19,17.0,0.0904255285859108,1.0,1.0,0.001828533597290516
220,0,0.0,0.0,0.0,0.0,0.9357657432556152
221,1,1.0,0.04545454680919647,0.0,0.0,2.072117567062378
222,2,2.0,0.09090909361839294,0.0,0.0,3.374668598175049
223,3,3.0,0.13636364042758942,0.0,0.0,2.9139153957366943
224,4,4.0,0.1818181872367859,0.0,0.0,0.5557785630226135
225,5,5.0,0.22727273404598236,1.0,1.0,0.009826814755797386
226,6,6.0,0.27272728085517883,1.0,1.0,0.0023105768486857414
227,7,7.0,0.3181818127632141,1.0,1.0,0.0037368317134678364
228,8,8.0,0.3636363744735718,1.0,1.0,0.0037368317134678364
229,9,8.0,0.3636363744735718,1.0,1.0,0.0037368317134678364
230,10,8.0,0.3636363744735718,1.0,1.0,0.0037368317134678364
231,11,11.0,0.5,1.0,1.0,0.0037368317134678364
232,12,11.0,0.5,1.0,1.0,0.0037368317134678364
233,13,11.0,0.5,1.0,1.0,0.0037368317134678364
234,14,11.0,0.5,1.0,1.0,0.0037368317134678364
235,15,11.0,0.5,1.0,1.0,0.0037368317134678364
236,16,11.0,0.5,1.0,1.0,0.0037368317134678364
237,17,11.0,0.5,1.0,1.0,0.0037368317134678364
238,18,11.0,0.5,1.0,1.0,0.0037368317134678364
239,19,11.0,0.5,1.0,1.0,0.0037368317134678364
240,0,0.0,0.0,0.0,0.0,3.177905559539795
241,1,1.0,0.07692307978868484,0.0,0.0,2.6248185634613037
242,2,2.0,0.1538461595773697,1.0,1.0,0.18634401261806488
243,3,3.0,0.23076923191547394,1.0,1.0,0.015888433903455734
244,4,4.0,0.3076923191547394,1.0,1.0,0.0010466927196830511
245,5,5.0,0.38461539149284363,1.0,1.0,0.019327286630868912
246,6,6.0,0.4615384638309479,1.0,1.0,0.003359387628734112
247,7,7.0,0.5384615659713745,1.0,1.0,0.00431186705827713
248,8,7.0,0.5384615659713745,1.0,1.0,0.00431186705827713
249,9,7.0,0.5384615659713745,1.0,1.0,0.00431186705827713
250,10,7.0,0.5384615659713745,1.0,1.0,0.00431186705827713
251,11,11.0,0.8461538553237915,1.0,1.0,0.0001021907664835453
252,12,11.0,0.8461538553237915,1.0,1.0,0.0001021907664835453
253,13,13.0,1.0,1.0,1.0,-2.677714761034622e-08
254,14,13.0,1.0,1.0,1.0,-2.677714761034622e-08
255,15,13.0,1.0,1.0,1.0,-2.677714761034622e-08
256,16,13.0,1.0,1.0,1.0,-2.677714761034622e-08
257,17,13.0,1.0,1.0,1.0,-2.677714761034622e-08
258,18,13.0,1.0,1.0,1.0,-2.677714761034622e-08
259,19,13.0,1.0,1.0,1.0,-2.677714761034622e-08
260,0,0.0,0.0,0.0,0.0,0.9605350494384766
261,1,1.0,0.07692307978868484,0.0,0.0,2.1091718673706055
262,2,2.0,0.1538461595773697,0.0,0.0,3.4148266315460205
263,3,3.0,0.23076923191547394,0.0,0.0,2.955861806869507
264,4,4.0,0.3076923191547394,0.0,0.0,0.572717547416687
265,5,5.0,0.38461539149284363,1.0,1.0,0.008363941684365273
266,6,6.0,0.4615384638309479,1.0,1.0,0.0021257493644952774
267,7,7.0,0.5384615659713745,1.0,1.0,0.0020356159657239914
268,8,8.0,0.6153846383094788,1.0,1.0,0.0020356159657239914
269,9,8.0,0.6153846383094788,1.0,1.0,0.0020356159657239914
270,10,8.0,0.6153846383094788,1.0,1.0,0.0020356159657239914
271,11,11.0,0.8461538553237915,1.0,1.0,0.00014841079246252775
272,12,11.0,0.8461538553237915,1.0,1.0,0.00014841079246252775
273,13,13.0,1.0,1.0,1.0,1.2790267511775255e-08
274,14,13.0,1.0,1.0,1.0,1.2790267511775255e-08
275,15,13.0,1.0,1.0,1.0,1.2790267511775255e-08
276,16,13.0,1.0,1.0,1.0,1.2790267511775255e-08
277,17,13.0,1.0,1.0,1.0,1.2790267511775255e-08
278,18,13.0,1.0,1.0,1.0,1.2790267511775255e-08
279,19,13.0,1.0,1.0,1.0,1.2790267511775255e-08
280,0,0.0,0.0,0.0,0.0,0.9449878334999084
281,1,1.0,0.05882352963089943,0.0,0.0,2.085949182510376
282,2,2.0,0.11764705926179886,0.0,0.0,3.3897058963775635
283,3,3.0,0.1764705926179886,0.0,0.0,2.929595470428467
284,4,4.0,0.23529411852359772,0.0,0.0,0.5620807409286499
285,5,5.0,0.29411765933036804,1.0,1.0,0.009224560111761093
