,graph_idx,dim,info
0,701,0,0.6610783338546753
1,701,1,0.08324849605560303
2,701,2,0.09570199251174927
3,701,3,0.010218613781034946
4,701,4,0.009132735431194305
5,701,5,0.01244417205452919
6,701,6,0.009669169783592224
7,701,7,0.013227635994553566
8,701,8,0.014279228635132313
9,701,9,0.014149120077490807
10,701,10,0.006936188321560621
11,701,11,0.010906782001256943
12,701,12,0.013136560097336769
13,701,13,0.01620342768728733
14,701,14,0.016789795830845833
15,701,15,0.012877749279141426
16,709,0,0.6340070366859436
17,709,1,0.09538757801055908
18,709,2,0.08448871225118637
19,709,3,0.015165450982749462
20,709,4,0.020599178969860077
21,709,5,0.012199582532048225
22,709,6,0.011661152355372906
23,709,7,0.011755833402276039
24,709,8,0.012402784079313278
25,709,9,0.011734524741768837
26,709,10,0.012743724510073662
27,709,11,0.018063878640532494
28,709,12,0.012049322947859764
29,709,13,0.012792053632438183
30,709,14,0.018429642543196678
31,709,15,0.016519544646143913
32,710,0,0.5972162485122681
33,710,1,0.10952041298151016
34,710,2,0.11400635540485382
35,710,3,0.015378582291305065
36,710,4,0.02024194970726967
37,710,5,0.008492284454405308
38,710,6,0.017583131790161133
39,710,7,0.013564123772084713
40,710,8,0.0240627471357584
41,710,9,0.014126885682344437
42,710,10,0.011650778353214264
43,710,11,0.014111604541540146
44,710,12,0.015655377879738808
45,710,13,0.009197591803967953
46,710,14,0.01037572417408228
47,710,15,0.004816216882318258
48,716,0,0.7622984647750854
49,716,1,0.05075868219137192
50,716,2,0.061552632600069046
51,716,3,0.008038409985601902
52,716,4,0.006101641338318586
53,716,5,0.008600236847996712
54,716,6,0.010317724198102951
55,716,7,0.010655653662979603
56,716,8,0.008526844903826714
57,716,9,0.012369567528367043
58,716,10,0.00564699899405241
59,716,11,0.009769444353878498
60,716,12,0.013918982818722725
61,716,13,0.007673535495996475
62,716,14,0.009426899254322052
63,716,15,0.014344298280775547
64,726,0,0.4714251458644867
65,726,1,0.10773051530122757
66,726,2,0.17043347656726837
67,726,3,0.022600136697292328
68,726,4,0.015180899761617184
69,726,5,0.02420174889266491
70,726,6,0.015833139419555664
71,726,7,0.023066367954015732
72,726,8,0.021354537457227707
73,726,9,0.015614216215908527
74,726,10,0.026710761711001396
75,726,11,0.019713368266820908
76,726,12,0.01253117248415947
77,726,13,0.014673902653157711
78,726,14,0.020635563880205154
79,726,15,0.0182950459420681
80,727,0,0.7726138234138489
81,727,1,0.05026990920305252
82,727,2,0.03529192879796028
83,727,3,0.016450492665171623
84,727,4,0.008879175409674644
85,727,5,0.013332207687199116
86,727,6,0.01100410521030426
87,727,7,0.01273749303072691
88,727,8,0.010834164917469025
89,727,9,0.010840056464076042
90,727,10,0.009284614585340023
91,727,11,0.007686725351959467
92,727,12,0.01154912170022726
93,727,13,0.009649116545915604
94,727,14,0.008979176171123981
95,727,15,0.010597910732030869
96,730,0,0.7579132914543152
97,730,1,0.04009939357638359
98,730,2,0.0717301070690155
99,730,3,0.005749071482568979
100,730,4,0.008380845189094543
101,730,5,0.008163427002727985
102,730,6,0.010534774512052536
103,730,7,0.015821082517504692
104,730,8,0.01277918927371502
105,730,9,0.005741809960454702
106,730,10,0.008715280331671238
107,730,11,0.007591745816171169
108,730,12,0.014531796798110008
109,730,13,0.009383033029735088
110,730,14,0.008481943048536777
111,730,15,0.014383221045136452
112,731,0,0.7156062126159668
113,731,1,0.09485043585300446
114,731,2,0.04527214542031288
115,731,3,0.008522026240825653
116,731,4,0.015883678570389748
117,731,5,0.013587779365479946
118,731,6,0.01868666149675846
119,731,7,0.006082791369408369
120,731,8,0.01229877583682537
121,731,9,0.008740578778088093
122,731,10,0.01276410836726427
123,731,11,0.009996959939599037
124,731,12,0.009070182219147682
125,731,13,0.009576081298291683
126,731,14,0.008336096070706844
