,dim,info
0,1,0.2518429458141327
1,2,0.022240445017814636
2,3,0.5024464726448059
3,4,0.01265199575573206
4,5,0.018681053072214127
5,6,0.022827601060271263
6,7,0.016191214323043823
7,8,0.013350637629628181
8,9,0.018048949539661407
9,10,0.0160747729241848
10,11,0.015675904229283333
11,12,0.008813006803393364
12,13,0.02471931278705597
13,14,0.013365856371819973
14,15,0.02111886627972126
15,16,0.021950937807559967
16,1,0.17799685895442963
17,2,0.024903573095798492
18,3,0.5919572710990906
19,4,0.02272764965891838
20,5,0.01710185967385769
21,6,0.0157841257750988
22,7,0.019548075273633003
23,8,0.010971725918352604
24,9,0.01380299311131239
25,10,0.013863896951079369
26,11,0.008703188970685005
27,12,0.013635382056236267
28,13,0.016320178285241127
29,14,0.011910448782145977
30,15,0.019430797547101974
31,16,0.021341964602470398
32,1,0.08270338177680969
33,2,0.011966749094426632
34,3,0.6995659470558167
35,4,0.02148401364684105
36,5,0.013241282664239407
37,6,0.013324433006346226
38,7,0.013544305227696896
39,8,0.026714926585555077
40,9,0.013030942529439926
41,10,0.01160128228366375
42,11,0.024548744782805443
43,12,0.017685718834400177
44,13,0.013639615848660469
45,14,0.009943862445652485
46,15,0.012735478579998016
47,16,0.014269324019551277
48,1,0.24972562491893768
49,2,0.019907036796212196
50,3,0.5051608681678772
51,4,0.008047029376029968
52,5,0.022499408572912216
53,6,0.024989062920212746
54,7,0.025494644418358803
55,8,0.015741098672151566
56,9,0.01706879399716854
57,10,0.013309360481798649
58,11,0.010724272578954697
59,12,0.014793318696320057
60,13,0.01980978064239025
61,14,0.011989680118858814
62,15,0.01848536543548107
63,16,0.02225463278591633
64,1,0.2111876755952835
65,2,0.0160103477537632
66,3,0.47038304805755615
67,4,0.02115810662508011
68,5,0.02694358117878437
69,6,0.03547824174165726
70,7,0.01600257121026516
71,8,0.013206723146140575
72,9,0.02217106707394123
73,10,0.02271221950650215
74,11,0.02316134423017502
75,12,0.016445215791463852
76,13,0.0215547364205122
77,14,0.029144486412405968
78,15,0.027373911812901497
79,16,0.02706671878695488
80,1,0.07937536388635635
81,2,0.05307528004050255
82,3,0.5643153786659241
83,4,0.02203202061355114
84,5,0.014257481321692467
85,6,0.029739683493971825
86,7,0.016840675845742226
87,8,0.023104026913642883
88,9,0.027479887008666992
89,10,0.024407600983977318
90,11,0.02979857474565506
91,12,0.020521828904747963
92,13,0.029624897986650467
93,14,0.013485915958881378
94,15,0.013958037830889225
95,16,0.037983350455760956
96,1,0.12741044163703918
97,2,0.02456136792898178
98,3,0.5643478035926819
99,4,0.035158637911081314
100,5,0.025090424343943596
101,6,0.015718398615717888
102,7,0.02377181686460972
103,8,0.029583370313048363
104,9,0.012881779111921787
105,10,0.022121252492070198
106,11,0.01727675274014473
107,12,0.02351939119398594
108,13,0.015899362042546272
109,14,0.02171437442302704
110,15,0.016847975552082062
111,16,0.024096857756376266
112,1,0.10724645853042603
113,2,0.019139118492603302
114,3,0.6209599375724792
115,4,0.02160932868719101
