,sparsity,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
0,0.0,0.0,0.0,0.4939172565937042,0.4841849207878113,3.846774101257324
1,0.05,1.4720194339752197,0.043050315231084824,0.4647201895713806,0.45985400676727295,0.8228507041931152
2,0.1,3.107055902481079,0.09094922989606857,0.4793187379837036,0.4695863723754883,0.842350423336029
3,0.15000000000000002,4.81995153427124,0.14177648723125458,0.4939172565937042,0.4939172565937042,0.8877352476119995
4,0.2,6.515815258026123,0.19267845153808594,0.47445255517959595,0.45985400676727295,0.9826076626777649
5,0.25,8.299269676208496,0.24620293080806732,0.4841849207878113,0.4695863723754883,0.969517171382904
6,0.30000000000000004,9.851581573486328,0.291251003742218,0.4939172565937042,0.45985400676727295,1.0162941217422485
7,0.35000000000000003,11.547445297241211,0.3415560722351074,0.510948896408081,0.5206812620162964,1.0118576288223267
8,0.4,13.240876197814941,0.3922581672668457,0.525547444820404,0.540145993232727,0.9581400752067566
9,0.45,14.878345489501953,0.4408508837223053,0.5206812620162964,0.5498783588409424,0.9942267537117004
10,0.5,16.542579650878906,0.4898795485496521,0.5644769072532654,0.5985401272773743,0.9577697515487671
11,0.55,18.250608444213867,0.5408034920692444,0.5620437860488892,0.5717761516571045,0.9908179640769958
12,0.6000000000000001,19.970802307128906,0.5925464630126953,0.6277372241020203,0.6131386756896973,0.8857815265655518
13,0.65,21.637470245361328,0.6421375274658203,0.65450119972229,0.6447688341140747,0.745293915271759
14,0.7000000000000001,23.274938583374023,0.6907146573066711,0.6423357725143433,0.6715328693389893,0.711513102054596
15,0.75,25.08515739440918,0.7455589771270752,0.65450119972229,0.6739659309387207,0.6594356894493103
16,0.8,26.68856430053711,0.792107343673706,0.6618005037307739,0.7104622721672058,0.557685911655426
17,0.8500000000000001,28.299270629882812,0.8398621082305908,0.669099748134613,0.7566909790039062,0.4576737880706787
18,0.9,29.905109405517578,0.8881585597991943,0.7201946377754211,0.8029196858406067,0.34696459770202637
19,0.9500000000000001,31.552310943603516,0.9385603070259094,0.7299270033836365,0.8223844170570374,0.25108012557029724
